དཔའ་བ་,དཔའ་བ་,དཔའ་བ་,དཔའ་,,,GT
དཔོག་པ་,དཔགས་པ་,དཔག་པ་,དཔོགས་,TDC,PH,
དཔོག་པ་,དཔགས་པ་༼དཔག་པ་༽,དཔག་པ་,དཔོགས་༼དཔག་༽,,,GT
དཔོད་པ་,དཔོད་པ་,དཔོད་པ་,དཔོད་,TDC,,GT
དཔོད་པ་,དཔུད་པ་,དཔུད་པ་,དཔུད་,,PH,
དཔྱ་བ་,དཔྱས་པ་,དཔྱ་བ་,དཔྱོས་,TDC,,
དཔྱོ་བ་,དཔྱས་པ་,དཔྱ་བ་,དཔྱོས་,,,GT
དཔྱོང་བ་,དཔྱངས་པ་,དཔྱང་བ་,དཔྱོངས་,TDC,,GT
དཔྱོད་པ་,དཔྱད་པ་,དཔྱད་པ་,དཔྱོད་,TDC,,GT
སྤ་བ་,སྤ་བ་,སྤ་བ་,,TDC,,
སྤ་བ་,སྤས་བ་,སྤ་བ་,སྤས་,,PH,GT
སྤག་པ་,སྤགས་པ་,སྤག་པ་,སྤགས་,,,GT
སྤུང་བ་,སྤུངས་པ་,སྤུང་བ་,སྤུངས་,TDC,,GT
སྤུད་པ་,སྤུད་པ་,སྤུད་པ་,སྤུད་,TDC,PH,GT
སྤུབ་པ་,སྤུབས་པ་,སྤུབ་པ་,སྤུབས་,,,GT
སྤུར་བ་,སྤུར་བ་,སྤུར་བ་,སྤུར་,TDC,,
སྤུར་བ་,སྤུར༼ད༽་བ་,སྤུར་བ་,སྤུར༼ད༽་,,,GT
སྤེལ་བ་,སྤེལ་བ་,སྤེལ་བ་,སྤེལ་,TDC,PH,
སྤེལ་བ་,སྤེལ༼ད༽་བ་,སྤེལ་བ་,སྤེལ༼ད༽་,,,GT
སྤོ་བ་,སྤོས་པ་,སྤོ་བ་,སྤོས་,TDC,PH,GT
སྤོག་པ་,སྤགས་པ་,སྤག་པ་,སྤོགས་,TDC,,GT
སྤོང་བ་,སྤངས་པ་,སྤང་བ,སྤོངས་,TDC,PH,GT
སྤོར་བ་,སྤར་བ་,སྤར་བ་,སྤོར་,TDC,,
སྤོར་བ་,སྤར༼ད༽་བ་,སྤར་བ་,སྤོར༼ད༽་,,,GT
སྤྱིང་བ་,སྤྱིངས་པ་,སྤྱིང་བ་,སྤྱིངས་,TDC,,GT
སྤྱུག་པ་,སྤྱུགས་པ་,སྤྱུག་པ་,སྤྱུགས་,TDC,,GT
སྤྱོ་བ་,སྤྱོས་པ་,སྤྱོ་བ་,སྤྱོས་,TDC,,GT
སྤྱོད་པ་,སྤྱད་པ་,སྤྱད་པ་,སྤྱོད་,TDC,PH,GT
སྤྱོན་པ་,སྤྱོན༼ད༽་པ་,སྤྱོན་པ་,སྤྱོན༼ད༽་,,,GT
སྤྱོན་པ་,སྤྱོན་པ་,སྤྱོན་པ་,སྤྱོན་,TDC,,
སྤྱོམ་པ་,སྤྱོམས་པ་,སྤྱོམ་པ་,སྤྱོམས་,TDC,,GT
སྤྲས་པ་,སྤྲས་པ་,སྤྲས་པ་,སྤྲོས་,TDC,PH,
སྤྲས་པ་,སྤྲས་པ་,སྤྲས་པ་,སྤྲས་,,,GT
སྤྲིང་བ་,སྤྲིངས་པ་,སྤྲིང་བ་,སྤྲིངས་,TDC,,GT
སྤྲུག་པ་,སྤྲུགས་པ་,སྤྲུག་པ་,སྤྲུགས་,TDC,,GT
སྤྲུལ་བ་,སྤྲུལ་བ་,སྤྲུལ་བ་,སྤྲུལ་,TDC,PH,
སྤྲུལ་བ་,སྤྲུལ༼ད༽་བ་,སྤྲུལ་བ་,སྤྲུལ༼ད༽་,,,GT
སྤྲོ་བ་,སྤྲོ་བ་,སྤྲོ་བ་,,TDC,PH,
སྤྲོ་བ་,སྤྲོས་པ་,སྤྲོ་བ་,སྤྲོས་,TDC,PH,GT
སྤྲོད་པ་,སྤྲད་པ་,སྤྲད་པ་,སྤྲོད་,TDC,PH,GT
