གཙག་པ་,གཙགས་པ་,གཙག་པ་,གཙོགས་; v. (tdp) faire une incision pour faire sortir le sang
གཙབ་པ་,བཙབས་པ་,བཙབ་པ་,གཙོབས; v. (tdp) découper finement
གཙིགས་པ་,གཙིགས་པ་,གཙིགས་པ་; v. (tmdp) montrer les dents
གཙུབ་པ་,གཙུབས་པ་,གཙུབ་པ་,གཙུབས་; v. (tdp) gratter
གཙེ་བ་,གཙེས་པ་,གཙེ་བ་,གཙེས་; v. (tdp) nuire, agacer, énerveraître
གཙེར་བ་,གཙེར་བ་,གཙེར་བ་,གཙེར་; v. (tdp) casser les oreilles
བཙའ་བ་,བཙའ་བ་,བཙའ་བ་,; v. (tdp) prendre soin de
བཙའ་བ་,བཙས་པ་,བཙའ་བ་; v. (tdp) gratter, avoir un œil sur
བཙའ་བ་,བཙས་པ་,བཙའ་བ་; v. (tmdp) naître
རྩི་བ་,བརྩིས་པ་,བརྩི་བ་,རྩིས་
རྩེ་བ་,བརྩེས་པ་,བརྩེ་བ་,རྩེས་
རྩེག་པ་,བརྩེགས་པ་,བརྩེག་པ་,རྩེགས་
རྩེང་བ་,བརྩེང་པ་,བརྩེང་བ་,རྩེངས་
རྩོད་པ་,བརྩད་པ་,བརྩད་པ་,རྩོད་
རྩོམ་པ་,བརྩམས་པ་,བརྩམ་པ་,རྩོམས་
རྩོལ་བ་,བརྩལ་བ་,བརྩལ་བ་,རྩོལ་
སྩོལ་བ་,བསྩལ་བ་,བསྩལ་བ་,སྩོལ་
བརྩེ་བ་,བརྩེ་བ་,བརྩེ་བ་
བརྩེད་པ་,བརྩེད་པ་,བརྩེད་པ་
བརྩོནཔ་,བརྩོནཔ་,བརྩོནཔ་,བརྩོན་
