ཚ་བ་,ཚ་བ་,ཚ་བ་,,TDC,,
ཚ་བ་,ཚ་བ་,ཚ་བ་,ཚ་,TDC,,GT
ཚང་བ་,ཚང་བ་,ཚང་བ་,,TDC,PH,
ཚང་བ་,ཚང་བ་,ཚང་བ་,ཚང་,,,GT
ཚངས་བ་,ཚངས་བ་,ཚངས་བ་,ཚངས་,,,GT
ཚད་པ་,ཚད་པ་,ཚད་པ་,ཚོད་,TDC,
ཚད་པ་,ཚད་པ་,ཚད་པ་,ཚད་,,,GT
ཚམ་པ་༼འཚམ་པ་༽,བཙམས་པ་,བཙམ་པ་,ཚམས་,,,GT
ཚར་བ་,ཚར་བ་,ཚར་བ་,,TDC,,
ཚར་བ་,ཚར༼ད༽་བ་,ཚར་བ་,ཚར༼ད༽་,,,GT
ཚིམ་པ་,ཚིམས་པ་,ཚིམ་པ་,,TDC,,
ཚིམ་པ་,ཚིམས་པ་,ཚིམ་པ་,ཚིམས་,,PH,GT
ཚུགས་པ་,ཚུགས་པ་,ཚུགས་པ་,,TDC,,
ཚུགས་པ་,ཚུགས་པ་,ཚུགས་པ་,ཚུགས་,,PH,GT
ཚུད་པ་,ཚུད་པ་,ཚུད་པ་,,TDC,PH,
ཚེང་བ་,ཚེངས་པ་,ཚེང་བ་,ཚེངས་,,,GT
ཚེས་པ་,ཚེས་པ་,ཚེས་པ་,,TDC,,
ཚོགས་པ་,ཚོགས་པ་,ཚོགས་པ་,,TDC,PH,
ཚོར་བ་,ཚོར་བ་,ཚོར་བ་,,TDC,,
ཚོར་བ་,ཚོར་བ་,ཚོར་བ་,ཚོར་,,PH,
ཚོར་བ་,ཚོར༼ད༽་བ་,ཚོར་བ་,ཚོར༼ད༽་,,,GT
ཚོས་པ་,ཚོས་པ་,ཚོས་པ་,,TDC,,
མཚན་པ་,མཚན་པ་,མཚན་པ་,མཚོན་,TDC,PH,
མཚན་པ་,མཚན༼ད༽་པ་,མཚན་པ་,མཚན༼ད༽་,,,GT
མཚར་བ་,མཚར་བ་,མཚར་བ་,མཚར་,,PH,
མཚར་བ་,མཚར༼ད༽་བ་,མཚར་བ་,མཚར༼ད༽་,,PH,GT
མཚུངས་པ་,མཚུངས་པ་,མཚུངས་པ་,,,PH,
མཚུངས་པ་༼མཚུང་བ་༽,མཚུངས་པ་,མཚུངས་པ་༼མཚུང་བ་༽,མཚུངས་,,,GT
མཚེར་བ་,མཚེར་བ་,མཚེར་བ་,མཚེར་,TDC,,
མཚེར་བ་,མཚེར༼ད༽་བ་,མཚེར་བ་,མཚེར༼ད༽་,,,GT
མཚོན་པ་,མཚོན་པ་,མཚོན་པ་,མཚོན་,TDC,PH,
མཚོན་པ་,མཚོན༼ད༽་པ་,མཚོན་པ་,མཚོན༼ད༽་,,,GT
འཚག་པ་,འཚགས་པ་,འཚག་པ་,འཚོགས་,TDC,PH,
འཚག་པ་,འཚགས་པ་,འཚག་པ་,འཚགས་,,,GT
འཚག་པ་,བཙགས་པ་,བཙག་པ་,ཚོགས་,TDC,PH,
འཚག་པ་,བཙགས་པ་,བཙག་པ་,འཚགས་,,,GT
འཚང་བ་,བཙངས་པ་,བཙང་བ་,ཚོངས་,TDC,PH,
འཚང་བ་,བཙངས་པ་,བཙང་བ་,འཚངས་,,,GT
འཚང་བ་,འཚངས་པ་,འཚང་བ་,འཚོངས་,TDC,,GT
འཚང་བ་,འཚངས་པ་,འཚང་བ་,,TDC,PH,
འཚབ་པ་,འཚབས་པ་,འཚབ་པ་,འཚོབས་,TDC,,
འཚབས་པ་,ཚབ་པ་,འཚབ་པ་,ཚབས་,,,GT
འཚམ་པ་,བཙམས་པ་,བཙམ་པ་,ཚོམས་,TDC,,
འཚམ་པ་,འཚམས་པ་,འཚམ་པ་,འཚམས་,,,GT
འཚམ་པ་,འཚམས་པ་,འཚམ་པ་,,TDC,,
འཚར་བ་,འཚར་བ་,འཚར་བ་,,TDC,,
འཚར་བ་,འཚར༼ད༽་བ་,འཚར་བ་,འཚར༼ད༽་,,,GT
འཚལ་བ,བཙལ་བ་,བཙལ་བ་,འཚོལ་,TDC,PH,
འཚལ་བ,བཙལ༼ད༽་བ་,བཙལ་བ་,འཚལ༼ད༽་,,,GT
འཚལ་བ་,འཚལ་བ་,འཚལ་བ་,,TDC,PH,
འཚིག་པ་,ཚིག་པ་,འཚིག་པ་,,TDC,,
འཚིག་པ་,ཚིག་པ་,འཚིག་པ་,འཚིགས་,,PH,
འཚིག་པ་,ཚིག་པ་,ཚིག་པ་,འཚིགས་,,,GT
འཚིར་བ་,བཙིར་བ་,བཙིར་བ་,ཚིར་,TDC,,
འཚིར༼ད༽་བ་,ཚིར་བ་,འཚིར་བ་,ཚིར༼ད༽་,,,GT
འཚུབ་པ་,འཚུབས་པ་,འཚུབ་པ་,,TDC,,
འཚུགས་པ་,ཚུག་པ་,འཚུག་པ་,འཚུགས་,,,GT
འཚུད་པ་,ཚུད་པ་,འཚུད་པ་,ཚུད་,,,GT
འཚུབས་པ་,ཚུབ་པ་,འཚུབ་པ་,ཚུབས་,,,GT
འཚེ་བ་,བཙེས་པ་,གཙེ་བ་,གཙེས་,,PH,
འཚེ་བ་,བཙེས་པ་༼གཙེས་པ་༽,གཙེ་བ་,གཙེས་,,,GT
འཚེད་བ་,བཙོས་བ་,བཙོ་བ་,འཚོད་,,,GT
འཚེང་བ་,འཚེངས་བ་,འཚེང་བ་,,TDC,,
འཚེང་བ་,འཚེངས་བ་,འཚེང་བ་,འཚེངས་,,,GT
འཚེམ་པ་,བཙེམས་པ་,བཙེམ་པ་,ཚེམས་,TDC,,
འཚེམ་པ་,བཙེམས་པ་,བཙེམ་པ་,འཚེམས་,,,GT
འཚེམ་པ་,འཚེམས་པ་,འཚེམ་པ,,TDC,,
འཚེམ་པ་,ཚེམས་པ་,ཚེམ་པ,འཚེམས་,,,GT
འཚེར་བ་,འཚེར་བ་,འཚེར་བ་,,TDC,,
འཚེར༼ད༽་བ་,ཚེར་བ་,འཚེར་བ་,ཚེར༼ད༽་,,,GT
འཚེས་པ་,ཚེས་པ་,འཚེས་པ་,ཚེས་,,,GT
འཚོ་བ་,འཚོས་པ་,འཚོ་བ་,འཚོས་,TDC,PH,
འཚོ་བ་,འཚོ་པ་,འཚོ་བ་,འཚོ་,,,GT
འཚོ་བ་,འཚོས་པ་,འཚོ་བ་,,TDC,,
འཚོག་པ་,འཚོགས་པ་,འཚོག་པ་,འཚོགས་,TDC,PH,
འཚོག་པ་,བཙོགས་པ་,བཙོག་པ་,འཚོགས་,TDC,PH,
འཚོག་པ་,བཙོག་པ་,གཙོག་པ་,ཚོག་,,,GT
འཚོགས་པ་,ཚོགས་པ་,འཚོག་པ་,ཚོགས་,,,GT
འཚོང་བ་,བཙོངས་པ་,བཙོང་བ་,ཚོངས་,TDC,PH,GT
འཚོད་པ་,བཙོས་པ་,བཙོ་བ་,ཚོས་,TDC,PH,
འཚོབ་པ་,འཚོབས་པ་,འཚོབ་པ་,,TDC,,
འཚོབ་པ་,ཚོབས་པ་,ཚོབ་པ་,འཚོབས་,,,GT
འཚོམས་པ་,ཚོམ་པ་,འཚོམ་པ་,ཚོམས་,,,GT
འཚོལ་བ་,བཙལ་བ་,བཙལ་བ་,ཚོལ་,TDC,PH,
འཚོལ་བ་༼འཚེལ་བ་༽,བཙལ༼ད༽་བ་,བཙལ་བ་,ཚོལ༼ད༽་,,,GT
འཚོས་བ་,ཚོས་བ་,འཚོས་བ་,ཚོ་,,,GT
