མཛད་པ་,མཛད་པ་,མཛད་པ་,མཛོད་,TDC,PH,GT
མཛའ་པ་,མཛའ་པ་,མཛའ་པ་,མཛའ་,,,GT
མཛེས་པ་,མཛེས་པ་,མཛེས་པ་,མཛེས་,,PH,
འཛག་པ་,ཟག་པ་,འཛག་པ་,,TDC,,
འཛག་པ་,ཟག་པ་,འཛག་པ་,ཟགས་,,PH,GT
འཛགས་པ་,བཟག་པ་,གཟག་པ་,གཟགས་,,,GT
འཛད་པ་,ཟད་པ་,འཛད་པ་,,TDC,PH,
འཛད་པ་,ཟད་པ་,འཛད་པ་,ཟད་,,,GT
འཛབ་པ་,ཛབས་པ་,ཛབ་བ་,འཛབས་,,,GT
འཛའ་བ་,ཟོས་པ་,འཛའ་བ་,,TDC,
འཛའ་བ་༼ཟ་བ་༽,ཟོས་པ་,འཛའ་བ་,,,PH
འཛར་བ་,འཛར་བ་,འཛར་བ་,,TDC,PH,
འཛར་བ་,ཛར་བ་,འཛར་བ་,ཛར༼ད༽་,,,GT
འཛར༼ད༽་བ་,བཟར་བ་,གཟར་བ་,གཟར༼ད༽་,,,GT
འཛིང་བ་,འཛིངས་པ་,འཛིང་བ་,འཛིངས་,TDC,PH,GT
འཛིང་བ་,འཛིངས་པ་,འཛིང་བ་,,TDC,PH
འཛིན་པ་,བཟུང་བ་,གཟུང་བ་,ཟུངས་,TDC,PH,GT
འཛིར་བ་,འཛིར་བ་,འཛིར་བ་,,TDC,,
འཛིར༼ད༽་བ་,ཛིར་བ་,འཛིར་བ་,ཛིར༼ད༽་,,,GT
འཛུགས་པ་,བཙུགས་པ་,གཟུགས་པ་,ཚུགས་,TDC,PH,GT
འཛུད་པ་,བཙུད་པ་,གཟུད་པ་,ཚུད་,TDC,PH,
འཛུད་པ་,བཙུད་པ་,གཟུད་པ་,གཙུད་༼འཛུད་༽,,,GT
འཛུམ་པ་,བཙུམས་པ་,བཙུམ་པ་,ཚུམས་,TDC,,
འཛུམ་པ་,བཙུམས་པ་༼བཙུམ་པ་༽,གཟུམ་པ་,ཚུམས་,,,GT
འཛུམ་པ་,འཛུམས་པ་,འཛུམ་པ་,འཛུམས་,TDC,,GT
འཛུར་བ་,བཟུར་བ་,གཟུར་བ་,ཟུར་,TDC,,
འཛུར་བ་,བཟུར༼ད༽་བ་,བཟུར་བ་,ཟུར༼ད༽་,,,GT
འཛུལ་བ་,འཛུལ་བ་,འཛུལ་བ་,འཛུལ་,TDC,,
འཛེག་པ་,འཛེགས་པ་,འཛེག་པ་,འཛེགས་,TDC,PH,GT
འཛེད་པ་,བཟེད་པ་,བཟེད་པ་,ཟེད་,TDC,,
འཛེད་པ་,བཟེད་པ་,གཟེད་པ་,ཟེད་,,,GT
འཛེམ་པ་,འཛེམས་པ་,འཛེམ་པ་,འཛེམས་,TDC,PH,
འཛེམ་པ་,འཛེམས་པ་༼ཟེམ་པ་༽,འཛེམ་པ་,འཛེམས་,,,GT
འཛེམས་པ་,བཟེམ་པ་,གཟེམ་པ་,གཟེམས་,,,GT
འཛེར་བ་,འཛེར་བ་,འཛེར་བ་,,TDC,
འཛེར༼ད༽་བ་,བཙེར༼ད༽་བ་,བཙེར་བ་,ཛེར༼ད༽་,,,GT
འཛེར༼ད༽་བ་,ཛེར་བ་,འཛེར་བ་,ཛེར༼ད༽་,,,GT
འཛོམ་པ་,འཛོམས་པ་,འཛོམ་པ་,འཛོམས་,TDC,,GT
འཛོལ་བ་,འཛོལ་བ་,འཛོལ་བ་,,TDC,,
འཛོལ༼ད༽་བ་,ཛོལ་བ་,འཛོལ་བ་,ཛོལ༼ད༽་,,,GT
རྫི་བ་,བརྫིས་པ་,བརྫི་བ་,རྫིས,TDC,,GT
རྫུ་བ་,བརྫུས་པ་,བརྫུ་བ་,རྫུས་,TDC,,GT
རྫུན་བ་,བརྫུན་པ་,བརྫུན་བ་,,,PH,
རྫུན་བ་,བརྫུན༼ད༽་པ་,བརྫུན་བ་,རྫུན༼ད༽་,,,GT
རྫེ་བ་,བརྫེས་པ་,བརྫེ་བ་,རྫེས་,TDC,,GT
རྫོགས་པ་,རྫོགས་པ་,རྫོགས་པ་,རྫོགས་,TDC,PH,GT
རྫོང་བ་,བརྫངས་པ་,བརྫང་བ་,རྫོངས་,TDC,,GT
རྫོད་པ་,བརྫད་པ་,བརྫད་པ་,རྫོད་,TDC,,
རྫོབ་པ་,བརྫབས་པ་,བརྫབ་པ་,རྫོབས་,TDC,,GT
