རག་པ་,རག་པ་,རག་པ་,རག་,,,GT
རག་པ་,རག་པ་,རག་པ་,,TDC,,
རང་བ་,རང་བ་,རང་བ་,,TDC,,
རང་བ་,རངས་པ་,རང་བ་,,,PH,
རང་བ་,རངས་པ་,རང་བ་,རངས་,,,GT
རན་པ་,རན༼ད༽་པ་,རན་པ་,རན༼ད༽་,,,GT
རལ་བ་,རལ་བ་,རལ་བ་,,TDC,,
རལ་བ་,རལ༼ད༽་བ་,རལ་བ་,རལ༼ད༽་,,,GT
རི་བ་,རི་བ་,རི་བ་,,TDC,,
རི་བ་,རི་བ་,རི་བ་,རི,,,GT
རིག་པ་,རིག་པ་,རིག་པ་,,TDC,,
རིག་པ་,རིག་པ་,རིག་པ་,རིག,,PH,GT
རིགས་པ་,རིགས་པ་,རིགས་པ་,,TDC,,
རིགས་པ་,རིགས་པ་,རིགས་པ་,རིགས་,,PH,GT
རིངས་པ་,རིངས་པ་,རིངས་པ་,རིངས་,,,GT
རིད་པ་,རིད་པ་,རིད་པ་,རིད་,,,GT
རིལ་བ་,རིལ་བ་,རིལ་བ་,,TDC,,
རིལ་བ་,རིལ༼ད༽་བ་,རིལ་བ་,རིལ༼ད༽་,,,GT
རུག་པ་,རུག་པ་,རུག་པ་,རུག་,TDC,,
རུག་པ་,རུགས་པ་,རུག་པ་,རུགས་,,,GT
རུང་བ་,རུང་བ་,རུང་བ་,,TDC,PH,
རུང་བ་,རུང་བ་,རུང་བ་,རུང་,,,GT
རུད་པ་,རུད་པ་,རུད་པ་,,TDC,,
རུབ་པ་,རུབས་པ་,རུབ་པ་,རུབས་,TDC,,GT
རུབ་པ་,རུབས་པ་,རུབ་པ་,,TDC,,
རུམ་པ་,རུམ་པ་,རུམ་པ་,རུམ་,TDC,,
རུལ་བ་,རུལ་བ་,རུལ་བ་,,TDC,,
རེ་བ་,རེ་བ་,རེ་བ་,,TDC,,
རེ་བ་,རེ་བ་༼རེས་པ་༽,རེ་བ་,རེ་༼རེས་༽,,,GT
རེག་པ་,རེག་པ་,རེག་པ་,རེག་,TDC,PH,GT
རེག་པ་,རེགས་པ་,རེགས་པ་,རེགས་,,,GT
རེང་བ་,རེངས་པ་,རེང་བ་,,TDC,,
རེང་བ་,རེངས་པ་,རེང་བ་,རེངས་,,,GT
རེད་པ་,རེད་པ་,རེད་པ་,,TDC,,
རེད་པ་,རེད་པ་,རེད་པ་,རེད་,,,GT
རེམ་པ་,རེམས་པ་,རེམ་པ་,རེམས་,TDC,,GT
རོལ་བ་,རོལ་བ་,རོལ་བ་,,TDC,PH
རོལ་བ་,རོལ༼ད༽་བ་,རོལ་བ་,རོལ༼ད༽་,,,GT
རླམ་པ་,རླམས་པ་,རླམ་པ་,རླམས་,,,GT
རླུག་པ་,བརླུགས་པ་,བརླུག་པ་,རླུགས་,TDC,
རླུག་པ་,རླུགས་པ་,རླུག་པ་,རླུགས་,TDC,,GT
རློག་པ་,བརླག་པ་,བརླག་པ་,རློགས་,TDC,,
རློག་པ་,བརླགས་པ་,བརླག་པ་,རློགས་,,PH,GT
རློན་པ་,བརླན་པ་,བརླན་པ་,རློན་,TDC,PH,
རློན་པ་,བརླན༼ད༽་པ་,བརླན་པ་,རློན༼ད༽་,,,GT
རློབ་པ་,བརླབས་པ་,བརླབ་པ་,རློབས་,TDC,PH,GT
རློམ་པ་,བརླམས་པ་,བརླམ་པ་,རློམས་,TDC,PH
རློམ་པ་,བརླམས་པ་,བརླམ་པ་,,TDC,
རློམ་པ་,རློམས་པ་,རློམ་པ་,རློམས་,,,GT
བརླག་པ་,བརླགས་པ་,བརླག་པ་,,TDC,PH
