ཧང་བ་,ཧངས་པ་,ཧང་བ་,ཧངས་,,,GT
ཧབ་,ཧབས་པ་,ཧབ་,ཧབ་,,,GT
ཧར་བ་,ཧར༼ད༽་བ་,ཧར་བ་,ཧར༼ད༽་,,,GT
ཧྲལ་བ་,ཧྲལ༼ད༽་བ་,ཧྲལ་བ་,ཧྲོལ༼ད༽་,,,GT
ཧས་པ་,ཧས་པ་,ཧས་པ་,ཧས་,,,GT
ཧྲིངས་པ་,ཧྲིངས་པ་,ཧྲིངས་པ་,,TDC,,
ཧྲུལ་བ་,ཧྲུལ༼ད༽་བ་,ཧྲུལ་བ་,ཧྲུལ༼ད༽་,,,GT
ཧྲེང་བ་,ཧྲེངས་པ་,ཧྲེང་བ་,ཧྲེངས་,,,GT
ཧྲེམ་པ་,ཧྲེམས་པ་,ཧྲེམ་པ་,ཧྲེམས་,,,GT
ལྷག་པ་,ལྷག་པ་,ལྷག་པ་,,TDC,,
ལྷག་པ་,ལྷག་པ་,ལྷག་པ་,ལྷག་,,PH,GT
ལྷགས་པ་,ལྷགས་པ་,ལྷགས་པ་,,TDC,,
ལྷགས་པ་,ལྷགས་པ་,ལྷགས་པ་,ལྷགས་,,,GT
ལྷུང་བ་,ལྷུངས་པ་,ལྷུང་བ་,,TDC,,
ལྷུང་བ་,ལྷུངས་པ་,ལྷུང་བ་,ལྷུངས་,,PH,GT
ལྷོང་བ་,ལྷོངས་པ་,ལྷོང་བ་,,TDC,,
ལྷོང་བ་,ལྷོངས་པ་,ལྷོང་བ་,ལྷོངས་,,,GT
ལྷོད་པ་,ལྷོད་པ་,ལྷོད་པ་,ལྷོད་,TDC,PH,
ལྷོན་པ་,ལྷོན་པ་,ལྷོན་པ་,,TDC,,
